ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	[Q01]Value	[Q02]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	StudioEventIndex	StudioEvent	StudioEventData	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	AOI[Screentitle 6]Hit	AOI[selection 21]Hit	AOI[title 21]Hit	AOI[text 21]Hit	AOI[arrowleft 21]Hit	AOI[pagecount 21]Hit	AOI[rating 21]Hit	AOI[likes 21]Hit	AOI[comments 21]Hit	AOI[idea 21]Hit	AOI[fullscreen 6]Hit	AOI[arrowright 21]Hit	AOI[date 21]Hit	AOI[date 22]Hit	AOI[likes 22]Hit	AOI[arrowleft 22]Hit	AOI[arrowright 22]Hit	AOI[selection 22]Hit	AOI[comments 22]Hit	AOI[pagecount 22]Hit	AOI[rating 22]Hit	AOI[text 22]Hit	AOI[title 22]Hit	AOI[idea 22]Hit	AOI[date 23]Hit	AOI[likes 23]Hit	AOI[arrowleft 23]Hit	AOI[arrowright 23]Hit	AOI[selection 23]Hit	AOI[comments 23]Hit	AOI[pagecount 23]Hit	AOI[rating 23]Hit	AOI[text 23]Hit	AOI[title 23]Hit	AOI[idea 23]Hit	AOI[date 24]Hit	AOI[likes 24]Hit	AOI[arrowleft 24]Hit	AOI[arrowright 24]Hit	AOI[selection 24]Hit	AOI[comments 24]Hit	AOI[pagecount 24]Hit	AOI[rating 24]Hit	AOI[text 24]Hit	AOI[title 24]Hit	AOI[idea 24]Hit	AOI[reviews 21]Hit	AOI[reviews 22]Hit	AOI[reviews 23]Hit	AOI[reviews 24]Hit	AOI[Screentitle 7]Hit	AOI[selection 25]Hit	AOI[title 25]Hit	AOI[text 25]Hit	AOI[arrowleft 25]Hit	AOI[pagecount 25]Hit	AOI[rating 25]Hit	AOI[likes 25]Hit	AOI[comments 25]Hit	AOI[idea 25]Hit	AOI[fullscreen 7]Hit	AOI[arrowright 25]Hit	AOI[date 25]Hit	AOI[date 26]Hit	AOI[likes 26]Hit	AOI[arrowleft 26]Hit	AOI[arrowright 26]Hit	AOI[selection 26]Hit	AOI[comments 26]Hit	AOI[pagecount 26]Hit	AOI[rating 26]Hit	AOI[text 26]Hit	AOI[title 26]Hit	AOI[idea 26]Hit	AOI[date 27]Hit	AOI[likes 27]Hit	AOI[arrowleft 27]Hit	AOI[arrowright 27]Hit	AOI[selection 27]Hit	AOI[comments 27]Hit	AOI[pagecount 27]Hit	AOI[rating 27]Hit	AOI[text 27]Hit	AOI[title 27]Hit	AOI[idea 27]Hit	AOI[date 28]Hit	AOI[likes 28]Hit	AOI[arrowleft 28]Hit	AOI[arrowright 28]Hit	AOI[selection 28]Hit	AOI[comments 28]Hit	AOI[pagecount 28]Hit	AOI[rating 28]Hit	AOI[text 28]Hit	AOI[title 28]Hit	AOI[idea 28]Hit	AOI[reviews 25]Hit	AOI[reviews 26]Hit	AOI[reviews 27]Hit	AOI[reviews 28]Hit	AOI[Screentitle 3]Hit	AOI[selection 9]Hit	AOI[title 9]Hit	AOI[text 9]Hit	AOI[arrowleft 9]Hit	AOI[pagecount 9]Hit	AOI[rating 9]Hit	AOI[likes 9]Hit	AOI[comments 9]Hit	AOI[idea 9]Hit	AOI[fullscreen 3]Hit	AOI[arrowright 9]Hit	AOI[date 9]Hit	AOI[date 10]Hit	AOI[likes 10]Hit	AOI[arrowleft 10]Hit	AOI[arrowright 10]Hit	AOI[selection 10]Hit	AOI[comments 10]Hit	AOI[pagecount 10]Hit	AOI[rating 10]Hit	AOI[text 10]Hit	AOI[title 10]Hit	AOI[idea 10]Hit	AOI[date 11]Hit	AOI[likes 11]Hit	AOI[arrowleft 11]Hit	AOI[arrowright 11]Hit	AOI[selection 11]Hit	AOI[comments 11]Hit	AOI[pagecount 11]Hit	AOI[rating 11]Hit	AOI[text 11]Hit	AOI[title 11]Hit	AOI[idea 11]Hit	AOI[date 12]Hit	AOI[likes 12]Hit	AOI[arrowleft 12]Hit	AOI[arrowright 12]Hit	AOI[selection 12]Hit	AOI[comments 12]Hit	AOI[pagecount 12]Hit	AOI[rating 12]Hit	AOI[text 12]Hit	AOI[title 12]Hit	AOI[idea 12]Hit	AOI[reviews 9]Hit	AOI[reviews 10]Hit	AOI[reviews 11]Hit	AOI[reviews 12]Hit	AOI[Screentitle]Hit	AOI[selection]Hit	AOI[title]Hit	AOI[text]Hit	AOI[arrowleft]Hit	AOI[pagecount]Hit	AOI[rating]Hit	AOI[likes]Hit	AOI[comments]Hit	AOI[idea]Hit	AOI[fullscreen]Hit	AOI[arrowright]Hit	AOI[date]Hit	AOI[date 2]Hit	AOI[likes 2]Hit	AOI[arrowleft 2]Hit	AOI[arrowright 2]Hit	AOI[selection 2]Hit	AOI[comments 2]Hit	AOI[pagecount 2]Hit	AOI[rating 2]Hit	AOI[text 2]Hit	AOI[title 2]Hit	AOI[idea 2]Hit	AOI[date 3]Hit	AOI[likes 3]Hit	AOI[arrowleft 3]Hit	AOI[arrowright 3]Hit	AOI[selection 3]Hit	AOI[comments 3]Hit	AOI[pagecount 3]Hit	AOI[rating 3]Hit	AOI[text 3]Hit	AOI[title 3]Hit	AOI[idea 3]Hit	AOI[date 4]Hit	AOI[likes 4]Hit	AOI[arrowleft 4]Hit	AOI[arrowright 4]Hit	AOI[selection 4]Hit	AOI[comments 4]Hit	AOI[pagecount 4]Hit	AOI[rating 4]Hit	AOI[text 4]Hit	AOI[title 4]Hit	AOI[idea 4]Hit	AOI[reviews]Hit	AOI[reviews 2]Hit	AOI[reviews 3]Hit	AOI[reviews 4]Hit	AOI[Screentitle 5]Hit	AOI[selection 17]Hit	AOI[title 17]Hit	AOI[text 17]Hit	AOI[arrowleft 17]Hit	AOI[pagecount 17]Hit	AOI[rating 17]Hit	AOI[likes 17]Hit	AOI[comments 17]Hit	AOI[idea 17]Hit	AOI[fullscreen 5]Hit	AOI[arrowright 17]Hit	AOI[date 17]Hit	AOI[date 18]Hit	AOI[likes 18]Hit	AOI[arrowleft 18]Hit	AOI[arrowright 18]Hit	AOI[selection 18]Hit	AOI[comments 18]Hit	AOI[pagecount 18]Hit	AOI[rating 18]Hit	AOI[text 18]Hit	AOI[title 18]Hit	AOI[idea 18]Hit	AOI[date 19]Hit	AOI[likes 19]Hit	AOI[arrowleft 19]Hit	AOI[arrowright 19]Hit	AOI[selection 19]Hit	AOI[comments 19]Hit	AOI[pagecount 19]Hit	AOI[rating 19]Hit	AOI[text 19]Hit	AOI[title 19]Hit	AOI[idea 19]Hit	AOI[date 20]Hit	AOI[likes 20]Hit	AOI[arrowleft 20]Hit	AOI[arrowright 20]Hit	AOI[selection 20]Hit	AOI[comments 20]Hit	AOI[pagecount 20]Hit	AOI[rating 20]Hit	AOI[text 20]Hit	AOI[title 20]Hit	AOI[idea 20]Hit	AOI[reviews 17]Hit	AOI[reviews 18]Hit	AOI[reviews 19]Hit	AOI[reviews 20]Hit	AOI[Screentitle 4]Hit	AOI[selection 13]Hit	AOI[title 13]Hit	AOI[text 13]Hit	AOI[arrowleft 13]Hit	AOI[pagecount 13]Hit	AOI[rating 13]Hit	AOI[likes 13]Hit	AOI[comments 13]Hit	AOI[idea 13]Hit	AOI[fullscreen 4]Hit	AOI[arrowright 13]Hit	AOI[date 13]Hit	AOI[date 14]Hit	AOI[likes 14]Hit	AOI[arrowleft 14]Hit	AOI[arrowright 14]Hit	AOI[selection 14]Hit	AOI[comments 14]Hit	AOI[pagecount 14]Hit	AOI[rating 14]Hit	AOI[text 14]Hit	AOI[title 14]Hit	AOI[idea 14]Hit	AOI[date 15]Hit	AOI[likes 15]Hit	AOI[arrowleft 15]Hit	AOI[arrowright 15]Hit	AOI[selection 15]Hit	AOI[comments 15]Hit	AOI[pagecount 15]Hit	AOI[rating 15]Hit	AOI[text 15]Hit	AOI[title 15]Hit	AOI[idea 15]Hit	AOI[date 16]Hit	AOI[likes 16]Hit	AOI[arrowleft 16]Hit	AOI[arrowright 16]Hit	AOI[selection 16]Hit	AOI[comments 16]Hit	AOI[pagecount 16]Hit	AOI[rating 16]Hit	AOI[text 16]Hit	AOI[title 16]Hit	AOI[idea 16]Hit	AOI[reviews 13]Hit	AOI[reviews 14]Hit	AOI[reviews 15]Hit	AOI[reviews 16]Hit	AOI[Screentitle 2]Hit	AOI[selection 5]Hit	AOI[title 5]Hit	AOI[text 5]Hit	AOI[arrowleft 5]Hit	AOI[pagecount 5]Hit	AOI[rating 5]Hit	AOI[likes 5]Hit	AOI[comments 5]Hit	AOI[idea 5]Hit	AOI[fullscreen 2]Hit	AOI[arrowright 5]Hit	AOI[date 5]Hit	AOI[date 6]Hit	AOI[likes 6]Hit	AOI[arrowleft 6]Hit	AOI[arrowright 6]Hit	AOI[selection 6]Hit	AOI[comments 6]Hit	AOI[pagecount 6]Hit	AOI[rating 6]Hit	AOI[text 6]Hit	AOI[title 6]Hit	AOI[idea 6]Hit	AOI[date 7]Hit	AOI[likes 7]Hit	AOI[arrowleft 7]Hit	AOI[arrowright 7]Hit	AOI[selection 7]Hit	AOI[comments 7]Hit	AOI[pagecount 7]Hit	AOI[rating 7]Hit	AOI[text 7]Hit	AOI[title 7]Hit	AOI[idea 7]Hit	AOI[date 8]Hit	AOI[likes 8]Hit	AOI[arrowleft 8]Hit	AOI[arrowright 8]Hit	AOI[selection 8]Hit	AOI[comments 8]Hit	AOI[pagecount 8]Hit	AOI[rating 8]Hit	AOI[text 8]Hit	AOI[title 8]Hit	AOI[idea 8]Hit	AOI[reviews 5]Hit	AOI[reviews 6]Hit	AOI[reviews 7]Hit	AOI[reviews 8]Hit	GazePointIndex	PupilLeft	PupilRight	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1001954	14:35:15.628	1510321028352352				1		Fixation	1087	839	322																																																																																																																																																										0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							1	2,66	2,56	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1002264	14:35:15.938	1510321028662308				2		Fixation	173	905	404	2,42	308,74																																																																																																																																																								0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							94	2,65	2,47	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1002681	14:35:16.354	1510321029078930				3		Fixation	103	252	157	15,58	159,22	210,48																																																																																																																																																							0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							219	2,77	2,61	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1002824	14:35:16.498	1510321029222220				4		Fixation	197	188	65	2,40	124,74	325,52																																																																																																																																																							0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							262	2,78	2,63	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1003047	14:35:16.721	1510321029445533				5		Fixation	143	328	68	2,97	358,77	234,03																																																																																																																																																							0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							329	2,80	2,71	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1003234	14:35:16.908	1510321029632174				6		Fixation	163	473	47	3,21	8,27	9,50																																																																																																																																																							0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							385	2,89	2,73	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1003424	14:35:17.098	1510321029822135				7		Fixation	190	608	67	3,04	351,55	343,28																																																																																																																																																							0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							442	2,95	2,74	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1003647	14:35:17.321	1510321030045339				8		Fixation	153	781	83	3,94	354,70	3,15																																																																																																																																																							0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							509	2,99	2,87	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1003824	14:35:17.497	1510321030222076				9		Fixation	180	866	98	1,97	349,96	355,26																																																																																																																																																							0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							562	3,01	2,88	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1004031	14:35:17.704	1510321030428717				10		Fixation	250	951	105	1,95	355,28	5,32																																																																																																																																																							0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							624	3,06	2,82	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1004307	14:35:17.981	1510321030705230				11		Fixation	210	1060	103	2,49	1,05	5,78																																																																																																																																																							0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							707	3,05	2,86	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1004547	14:35:18.221	1510321030945200				12		Fixation	233	1180	99	2,73	1,92	0,86																																																																																																																																																							0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							779	3,09	2,91	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1004800	14:35:18.474	1510321031198496				13		Fixation	243	1268	98	1,99	0,65	358,74																																																																																																																																																							0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							855	3,13	2,91	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1005067	14:35:18.741	1510321031465125				14		Fixation	210	1359	84	2,06	8,77	8,12																																																																																																																																																							0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							935	3,15	2,93	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1005440	14:35:19.114	1510321031838404				15		Fixation	133	457	153	20,50	184,39	175,61																																																																																																																																																							0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							1047	3,24	3,01	
01-12-2017	3.4.8	IdeaReductionThesis 1	Participant06	Par06	Alert	Alert	SQ07_Rec 01	10-11-2017	2908657	1920 x 1080	SQ07	I-VT filter	http://127.0.0.1:32769/09.00.42/screen1.html (CRC)	2	2	1920	1080	1005634	14:35:19.307	1510321032031727				16		Fixation	337	232	164	4,89	182,81	358,42																																																																																																																																																							0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																							1105	3,20	3,00	
